time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,81,45,111,28,62,1.5,52,28,¡º
2014-01-02,145,111,168,69,93,3.4,14,89,«·∂»Œ€»æ
2014-01-03,74,47,98,29,52,1.3,56,27,¡º
2014-01-04,149,114,147,40,75,2.8,14,119,«·∂»Œ€»æ
2014-01-05,119,91,117,36,67,2.3,44,52,«·∂»Œ€»æ
2014-01-06,182,138,158,46,68,2.4,12,104,÷–∂»Œ€»æ
2014-01-07,145,111,125,34,60,2,43,119,«·∂»Œ€»æ
2014-01-08,27,15,25,13,21,0.5,53,1,”≈
2014-01-09,46,27,46,19,35,0.8,53,9,”≈
2014-01-10,85,63,94,53,71,1.9,19,58,¡º
2014-01-11,139,106,128,76,90,2.8,11,120,«·∂»Œ€»æ
2014-01-12,47,27,47,27,39,0.7,59,10,”≈
2014-01-13,109,82,107,67,78,2.3,20,110,«·∂»Œ€»æ
2014-01-14,108,82,108,68,74,2.4,24,86,«·∂»Œ€»æ
2014-01-15,125,95,117,66,84,2.7,18,78,«·∂»Œ€»æ
2014-01-16,402,353,384,109,123,4.6,20,184,—œ÷ÿŒ€»æ
2014-01-17,215,165,194,67,76,2.4,30,134,÷ÿ∂»Œ€»æ
2014-01-18,99,74,81,42,61,1.5,36,43,¡º
2014-01-19,151,115,186,71,72,2.5,41,87,÷–∂»Œ€»æ
2014-01-20,35,8,35,6,15,0.3,65,1,”≈
2014-01-21,26,18,25,27,34,0.7,50,2,”≈
2014-01-22,150,115,138,75,93,2.2,16,166,«·∂»Œ€»æ
2014-01-23,271,221,263,118,125,4,8,184,÷ÿ∂»Œ€»æ
2014-01-24,197,148,168,79,92,2.8,23,146,÷–∂»Œ€»æ
2014-01-25,42,24,42,24,42,1,61,6,”≈
2014-01-26,72,53,81,45,47,1,44,76,¡º
2014-01-27,118,89,120,57,60,1.8,56,123,«·∂»Œ€»æ
2014-01-28,62,40,75,28,38,0.9,56,49,¡º
2014-01-29,155,118,141,71,75,2.3,32,144,÷–∂»Œ€»æ
2014-01-30,96,72,97,39,46,1.2,68,51,¡º
2014-01-31,190,143,182,63,48,1.4,38,74,÷–∂»Œ€»æ
